"brandName","headquarters","yearFounded","numberOfLocations"
"Robel and Sons","Lake Marisol, Lesotho",1970,410977690451968
"Dach - Lubowitz","Dickinsonchester, Timor-Leste",1970,429023322701824
"Ondricka - Kub","New Colbyworth, Qatar",1970,7667568712089600
"Hudson, Roberts and Leannon","Sandrineshire, Kyrgyz Republic",1970,616412651454464
"Abshire - Ullrich","Mayaguez, Faroe Islands",1970,6369155926196224
"Kilback - Bashirian","East Los Angeles, Virgin Islands, U.S.",1970,3106877787340800
"Price, Kerluke and Blanda","Daytona Beach, Gabon",1970,2546800707764224
"Durgan, Fadel and Luettgen","Port Drew, Netherlands",1970,2857157913477120
"Wilkinson - Welch","South Alek, Mauritania",1970,2706197966749696
"Beier - Smith","Alysafort, Pitcairn Islands",1970,5308847726002176
